Person;Data;Amostra_aula;Amostra;Site;Latitude;Longitude;Especie;Sepal_lenght_cm;Sepal_width ;Petal_lenght;Petal_width
Jonathan;12/01/1929;A51;A51;Site1;48.935966;-64.840984;Iris versicolor;7;3.2;4.7;1.4
Jonathan;12/01/1929;A52;A54;Site1;48.935966;-64.840984;Iris versicolor;5.5;2.3;4;1.3
Jonathan;12/01/1929;A53;A57;Site1;48.935966;-64.840984;Iris versicolor;6.3;3.3;4.7;1.6
Jonathan;12/01/1929;A54;A60;Site1;48.935966;-64.840984;Iris versicolor;5.2;2.7;3.9;1.4
Jonathan;12/01/1929;A55;A63;Site1;48.935966;-64.840984;Iris versicolor;6;2.2;4;1
Jonathan;12/01/1929;A56;A66;Site1;48.935966;-64.840984;Iris versicolor;6.7;3.1;4.4;1.4
Jonathan;12/01/1929;A57;A69;Site1;48.935966;-64.840984;Iris versicolor;6.2;2.2;4.5;1.5
Jonathan;12/01/1929;A58;A72;Site1;48.935966;-64.840984;Iris versicolor;6.1;2.8;4;1.3
Jonathan;12/01/1929;A59;A75;Site1;48.935966;-64.840984;Iris versicolor;6.4;2.9;4.3;1.3
Jonathan;12/01/1929;A60;A78;Site1;48.935966;-64.840984;Iris versicolor;6.7;3;5;1.7
Larissa;01/12/1929;A1;A15;Site1;48.935966;-64.840984;Iris setosa;5.8;4;1.2;0.2
Larissa;01/12/1929;A2;A17;Site1;48.935966;-64.840984;Iris setosa;5.4;3.9;1.3;0.4
Larissa;01/12/1929;A3;A18;Site1;48.935966;-64.840984;Iris setosa;5.1;3.5;1.4;0.3
Larissa;01/12/1929;A4;A20;Site1;48.935966;-64.840984;Iris setosa;5.1;3.8;1.5;0.3
Larissa;01/12/1929;A5;A21;Site1;48.935966;-64.840984;Iris setosa;5.4;3.4;1.7;0.2
Larissa;01/12/1929;A6;A23;Site1;48.935966;-64.840984;Iris setosa;4.6;3.6;1;0.2
Larissa;01/12/1929;A7;A24;Site1;48.935966;-64.840984;Iris setosa;5.1;3.3;1.7;0.5
Larissa;01/12/1929;A8;A26;Site1;48.935966;-64.840984;Iris setosa;5;3;1.6;0.2
Larissa;01/12/1929;A9;A27;Site1;48.935966;-64.840984;Iris setosa;5;3.4;1.6;0.4
Larissa;01/12/1929;A10;A3;Site1;48.935966;-64.840984;Iris setosa;4.7;3.2;1.3;0.2
Larissa;01/12/1929;A11;A30;Site1;48.935966;-64.840984;Iris setosa;4.7;3.2;1.6;0.2
Larissa;01/12/1929;A12;A33;Site1;48.935966;-64.840984;Iris setosa;5.2;4.1;1.5;0.1
Larissa;01/12/1929;A13;A36;Site1;48.935966;-64.840984;Iris setosa;5;3.2;1.2;0.2
Larissa;01/12/1929;A14;A39;Site1;48.935966;-64.840984;Iris setosa;4.4;3;1.3;0.2
Larissa;01/12/1929;A15;A42;Site1;48.935966;-64.840984;Iris setosa;4.5;2.3;1.3;0.3
Larissa;01/12/1929;A16;A45;Site1;48.935966;-64.840984;Iris setosa;5.1;3.8;1.9;0.4
Larissa;01/12/1929;A17;A48;Site1;48.935966;-64.840984;Iris setosa;4.6;3.2;1.4;0.2
Larissa;01/12/1929;A18;A6;Site1;48.935966;-64.840984;Iris setosa;5.4;3.9;1.7;0.4
Larissa;01/12/1929;A19;A8;Site1;48.935966;-64.840984;Iris setosa;4.8;3.4;1.6;0.2
Larissa;01/12/1929;A20;A9;Site1;48.935966;-64.840984;Iris setosa;4.4;2.9;1.4;0.2
Juan;13/02/1930;A21;A29;Site2;48.540502;-64.766512;Iris setosa;5.2;3.4;1.4;0.2
Juan;13/02/1930;A22;A32;Site2;48.540502;-64.766512;Iris setosa;5.4;3.4;1.5;0.4
Juan;13/02/1930;A23;A35;Site2;48.540502;-64.766512;Iris setosa;4.9;3.1;1.5;0.2
Juan;13/02/1930;A24;A38;Site2;48.540502;-64.766512;Iris setosa;4.9;3.6;1.4;0.1
